t,x,y,z,vx,vy,vz
0.0,6542.76021773327,2381.369985711348,-0.0001025844463563735,0.3928537107642938,-1.0793563746625408,7.592522884137048
300.0,6313.758011833836,1937.77260092034,2237.5255699679888,-1.9040056504383918,-1.8510679159855659,7.192050928739146
600.0,5422.604214043109,1290.879399267817,4240.184114988025,-3.9797432780956155,-2.422289927269851,6.044354359400827
900.0,3970.640764523692,510.3354592828672,5804.040429325854,-5.610592120480564,-2.7353536613716476,4.2977763631743615
1200.0,2116.436294410377,-322.16391386940313,6779.932233129101,-6.642310043208886,-2.7678470507496584,2.162786281791567
1500.0,52.806877979573024,-1123.2947443368469,7086.345171844272,-7.001041603283807,-2.530434450976648,-0.1261906895151614
1800.0,-2016.791045768204,-1817.045673738317,6711.557123431096,-6.687818003356049,-2.059808222330021,-2.342787873680789
2100.0,-3898.6968418237548,-2341.237071226305,5707.778184947292,-5.7642050036409875,-1.410078803645282,-4.289670736862384
2400.0,-5424.791430673526,-2651.567871648674,4180.641073103656,-4.33636489668245,-0.6452264028597532,-5.809169066646084
2700.0,-6463.683145254399,-2723.664300947052,2276.540938655514,-2.5408234768931384,0.1667222416603444,-6.787505296504786
3000.0,-6928.0403025644055,-2553.620467736084,169.3372359127661,-0.5331658338395328,0.9579240939695596,-7.155315984617818
3300.0,-6778.94806928755,-2157.458055468333,-1952.915739752652,1.5207445984730292,1.6638425148160392,-6.88724975649494
3600.0,-6027.8532861862695,-1569.730894999253,-3901.109304256519,3.4521968192363928,2.225886319008207,-6.001618070800828
3900.0,-4736.350109656117,-841.3484474791082,-5498.213196568199,5.096870442668667,2.594102215893309,-4.560739423055585
4200.0,-3013.6219021496663,-36.51034897426789,-6592.56528730537,6.30341980647115,2.730432600213403,-2.6714641860777797
4500.0,-1010.980114961277,771.427076308317,-7071.209361421696,6.944404701764919,2.6126023781215237,-0.4847467119638548
4800.0,1087.332149698866,1505.3609247251031,-6872.729334547445,6.930325682482457,2.238710128532418,1.807717362028639
5100.0,3078.005035330083,2091.266130750511,-5998.269438980001,6.226564306715004,1.631904223573176,3.982831707671755
5400.0,4757.746184567705,2466.250934520811,-4518.337211568558,4.870362907812927,0.8435056072225339,5.805452471621096
5700.0,5946.668932438646,2586.98692562207,-2572.10934472642,2.981316244918378,-0.0480381562155128,7.058843836042489
6000.0,6512.853964048816,2436.896254439031,-356.311369436651,0.7573195365650026,-0.944711447041342,7.582527440779256
6300.0,6392.706462883878,2030.012232080542,1897.076879930781,-1.5497764554930311,-1.7432922817347267,7.306590681958598
6600.0,5601.247037161014,1409.8945853700918,3951.071757668708,-3.67542149444829,-2.353089647635858,6.268299701271794
6900.0,4229.0367936243965,643.4659425006448,5595.13038683242,-5.387517097829792,-2.711010930023166,4.603036601844297
7200.0,2426.983457785907,-188.59363649543758,6670.422196655316,-6.519879078436119,-2.7889046808229,2.514022836904985
7500.0,383.9746565288863,-1002.363426661133,7084.4792118964915,-6.986177145744799,-2.592583050666076,0.2341845812592963
7800.0,-1696.912772223216,-1719.976338572139,6814.854095377627,-6.7764786786440325,-2.155210243344166,-2.0073660665605657
8100.0,-3619.45636007519,-2276.5397108842717,5904.2892730341955,-5.943778052597597,-1.528699087364465,-4.007928462161942
8400.0,-5210.769582775396,-2624.557609115505,4450.766046458073,-4.5880450567411915,-0.7759633436387913,-5.603265085707876
8700.0,-6333.149198882828,-2736.2765684298192,2595.079876862988,-2.841646960235973,0.0351748096577681,-6.672588239364685
9000.0,-6891.9551439987235,-2604.447713403997,507.60121402264366,-0.8576048885977364,0.8364582219863861,-7.139497400927074
